sid,year,id_s_fr,age,female
18635,2014,03000010289,64,1
18946,2012,03000010382,60,1
18946,2013,03000010382,61,1
18946,2014,03000010382,62,1
19076,2012,,59,1
19127,2012,03000010360,60,1
19127,2013,03000010360,61,1
19127,2014,03000010360,62,1
19127,2015,03000010360,63,1
19154,2012,03000010380,59,1
19154,2013,03000010380,60.012047,1
19154,2014,03000010380,61,1
19163,2012,03000010354,60,0
19175,2014,03000010130,62,1
19175,2015,03000010130,63,1
19176,2012,03000010225,61,1
19176,2013,03000010225,62,1
19176,2014,03000010225,63,1
19176,2015,03000010225,64,1
19185,2012,,60,0
19185,2013,,61,0
19185,2014,,62,0
19185,2015,,63,0
19262,2012,03000010318,60,1
19262,2013,03000010318,61,1
19262,2014,03000010000,62,1
19262,2015,03000010318,63,1
19372,2012,03000010857,60,1
19372,2013,03000010857,61,1
19372,2014,03000010857,62,1
19448,2012,03000010107,61,1
19448,2013,03000010107,62,1
19448,2014,03000010107,63,1
19504,2012,03000010104,66,1
19504,2013,03000010104,67,1
19504,2014,03000010104,68,1
19504,2015,03000010104,69,1
19509,2012,,66,1
19509,2013,,67,1
19509,2014,,68,1
19580,2012,,60,1
19580,2013,,61,1
19580,2014,,62,1
19580,2015,03000010362,63,1
19597,2012,03000010179,61,1
19597,2013,03000010179,62,1
19597,2014,03000010179,63,1
19635,2012,03000010354,60,1
19635,2013,03000010354,61,1
19635,2014,03000010354,62,1
19788,2012,03000010179,60,1
19788,2013,03000010179,61,1
19788,2014,03000010179,62,1
19949,2012,03000010354,62,0
19949,2013,03000010144,63,0
19949,2014,03000010144,64,0
19949,2015,03000010144,65,0
20011,2012,,63,0
20011,2013,,64,0
20011,2014,,65,0
20376,2012,03000010368,60,1
20376,2013,03000010368,61,1
20376,2014,03000010368,62,1
20376,2015,03000010368,63,1
20385,2012,,60,1
20385,2013,,61,1
20385,2014,,62,1
20491,2012,,59,1
20491,2013,,59,1
20491,2014,,60,1
20661,2012,03000010160,63,1
20661,2013,03000010121,64.042374,1
20661,2014,03000010160,65,1
20661,2015,03000010160,66.029198,1
20760,2012,03000010300,62,1
20760,2013,03000010300,63,1
20760,2014,03000010300,64,1
20766,2012,,58,1
20766,2013,,59,1
20766,2014,,60,1
20771,2012,,59,1
20771,2013,,60,1
20771,2014,,61,1
20771,2015,03000010857,62,1
20806,2012,03000010167,59,1
20806,2013,03000010167,60,1
20806,2014,03000010167,61,1
20806,2015,03000010167,62,1
20846,2012,,61,1
20846,2013,,62,1
20846,2014,,63,1
20846,2015,,64,1
20847,2012,03000010167,59,1
20847,2013,03000010167,60,1
20847,2014,03000010167,61,1
20864,2012,03000010358,60,1
20864,2013,03000010358,60,1
20864,2014,03000010358,61,1
20864,2015,03000010358,62,1
20866,2012,03000010362,73,1
20866,2013,03000010362,75,1
20866,2014,03000010362,75,1
