"","person_id","year","perf_a","perf_b","performance","perf_c","performance_c","status","avg_absences","absence","id_s_fr","age","female","department"
"12676",105330,2013,NA,NA,1,NA,NA,"",8.2366476,1,3000010352,30,0,1
"12677",105330,2014,0.138078737,NA,1,0.8481158,1,"Active",8.2776814,1,3000010352,31,0,1
"12678",105330,2015,0.02957722,NA,1,0.004401904,1,"Active",1.8669226,1,3000010352,32,0,1
"12679",105330,2016,-1.109631682,NA,1,-0.68475848,1,"Active",0.46718088,1,NA,NA,NA,NA
"12680",105330,2017,NA,NA,1,0.16270977,1,NA,NA,NA,NA,NA,NA,NA
"12681",105355,2013,NA,NA,1,NA,NA,"",8.7336178,1,3000010144,32,1,1
"12682",105355,2014,NA,NA,1,NA,NA,"Active",8.0370197,1,3000010144,33,1,1
"12683",105355,2015,-0.44439774,NA,1,-0.44439775,1,"Active",1.3491884,1,3000010144,34,1,1
"12684",105355,2016,-2.380251511,NA,1,-1.5185282,1,"Active",0.13016784,1,NA,NA,NA,NA
"12685",105355,2017,-0.487013343,NA,1,-0.50215608,1,NA,NA,NA,NA,NA,NA,NA
"12686",105419,2013,-0.452430063,NA,1,-0.45243007,1,"Active",8.3034344,1,3000010857,28,1,1
"12687",105419,2014,0.445120664,NA,1,0.44512066,1,"Active",8.4161491,1,3000010857,29,1,1
"12688",105419,2015,1.606532548,NA,1,1.6065326,1,"Active",1.1645972,1,3000010857,30,1,1
"12689",105419,2016,1.606188894,NA,1,1.6061889,1,"Active",0.43938616,1,NA,NA,NA,NA
"12690",105419,2017,1.351877946,NA,1,1.3518779,1,NA,NA,NA,NA,NA,NA,NA
"12691",105422,2013,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12692",105422,2014,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12693",105422,2015,NA,NA,1,NA,NA,"Active",2.084574,1,3000010382,29,1,1
"12694",105422,2016,0.010592427,NA,1,0.010592427,1,"Active",0.10793231,1,NA,NA,NA,NA
"12695",105422,2017,-0.268756704,NA,1,-0.26875672,1,NA,NA,NA,NA,NA,NA,NA
"12696",105445,2013,-0.49428165,NA,1,-0.34699172,1,"Active",8.1465712,1,3000010190,32,1,1
"12697",105445,2014,-0.170612063,NA,1,-0.25515416,1,"Active",8.8061895,1,3000010190,33,1,1
"12698",105445,2015,-0.6072422,NA,1,-0.60724223,1,"Active",1.9032041,1,3000010190,34,1,1
"12699",105445,2016,1.051289292,NA,1,1.0512893,1,"Active",0.47011653,1,NA,NA,NA,NA
"12700",105445,2017,-0.278921756,NA,1,-0.27892175,1,NA,NA,NA,NA,NA,NA,NA
"12701",105462,2013,0.279196037,NA,1,0.27919602,1,"Active",8.207778,1,3000010260,27,1,1
"12702",105462,2014,0.633706886,NA,1,0.81917894,1,"Active",8.7175703,1,3000010260,28,1,1
"12703",105462,2015,1.048413665,NA,1,1.052505,1,"Active",2.1006622,1,3000010260,29,1,1
"12704",105462,2016,-1.060371545,NA,1,-0.6646502,1,"Active",0.45339325,1,NA,NA,NA,NA
"12705",105462,2017,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12706",105468,2013,0.627811059,NA,1,0.62781107,1,"Active",8.790062,1,3000010316,29,1,1
"12707",105468,2014,0.150562027,NA,1,0.27345595,1,"Active",8.0846252,1,3000010316,30,1,1
"12708",105468,2015,-1.320128629,NA,1,-0.50471932,1,NA,NA,NA,NA,NA,NA,NA
"12709",105468,2016,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12710",105468,2017,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12711",105470,2013,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12712",105470,2014,NA,NA,1,NA,NA,"Active",8.0583096,1,NA,NA,NA,NA
"12713",105470,2015,-0.071577425,NA,1,-0.27614081,1,NA,NA,NA,NA,NA,NA,NA
"12714",105470,2016,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12715",105470,2017,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12716",105521,2013,-0.338380232,NA,1,-0.33838025,1,"Active",8.5731106,1,3000010363,41,0,1
"12717",105521,2014,0.3385497,NA,1,1.0186055,1,"Active",8.9581699,1,3000010363,42,0,1
"12718",105521,2015,0.35347691,NA,1,0.58479303,1,"Active",2.091594,1,3000010363,43,0,1
"12719",105521,2016,NA,NA,1,NA,NA,"Active",0.088586181,1,NA,NA,NA,NA
"12720",105521,2017,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12721",105528,2013,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12722",105528,2014,NA,NA,1,NA,NA,"Active",9.0210142,1,3000010352,28,0,1
"12723",105528,2015,-0.743198853,NA,1,-0.37730849,1,"Active",2.0118906,1,3000010352,29,0,1
"12724",105528,2016,-0.121405683,NA,1,0.14995053,1,"Active",0.34112531,1,NA,NA,NA,NA
"12725",105528,2017,-0.492863014,NA,1,-0.22976786,1,NA,NA,NA,NA,NA,NA,NA
"12726",105550,2013,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12727",105550,2014,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12728",105550,2015,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12729",105550,2016,NA,NA,1,NA,NA,"Active",0.18581858,1,NA,NA,NA,NA
"12730",105550,2017,1.12498804,NA,1,1.1249881,1,NA,NA,NA,NA,NA,NA,NA
"12731",105603,2013,-0.25172135,NA,1,0.40832037,1,"Active",8.0289431,1,3000010193,30,1,1
"12732",105603,2014,0.042248787,NA,1,1.1724226,1,"Active",8.5685844,1,3000010193,31,1,1
"12733",105603,2015,1.151271348,NA,1,0.93889034,1,"Active",1.9800912,1,3000010193,32,1,1
"12734",105603,2016,-0.126091988,NA,1,0.16500394,1,"Active",0.95723128,1,NA,NA,NA,NA
"12735",105603,2017,0.880079309,NA,1,0.59822094,1,NA,NA,NA,NA,NA,NA,NA
"12736",105634,2013,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12737",105634,2014,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12738",105634,2015,NA,NA,1,NA,NA,"Active",1.1944863,1,3000010291,35,1,1
"12739",105634,2016,0.659746614,-1.247636449,1,-0.085149907,1,"Active",0.37084019,1,NA,NA,NA,NA
"12740",105634,2017,-0.536139686,NA,1,-0.039193384,1,NA,NA,NA,NA,NA,NA,NA
"12741",105642,2013,0.525942174,NA,1,0.52594215,1,"Active",8.5857763,1,3000010151,34.011364,1,1
"12742",105642,2014,0.030440079,-0.387117858,1,-0.16228461,1,"",8.2246294,1,3000010151,36,1,1
"12743",105642,2015,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12744",105642,2016,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12745",105642,2017,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12746",105651,2013,0.804486066,NA,1,0.80448604,1,"",7.95891,1,3000010156,30,1,1
"12747",105651,2014,NA,NA,1,NA,NA,"",8.5059538,1,3000010156,30,1,1
"12748",105651,2015,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12749",105651,2016,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12750",105651,2017,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12751",105720,2013,-0.306342973,0.594030957,1,0.19959976,1,"Active",8.5794144,1,3000010625,35,1,1
"12752",105720,2014,-0.50811007,0.020205864,1,-0.11644115,1,"Active",8.6879606,1,3000010625,36,1,1
"12753",105720,2015,-0.069541324,-0.242845145,1,-0.64823079,1,"Active",1.3448246,1,3000010625,37,1,1
"12754",105720,2016,-0.903547459,0.009446391,1,-0.73721248,1,"Active",0.88862997,1,NA,NA,NA,NA
"12755",105720,2017,-0.333327462,NA,1,-0.23685403,1,NA,NA,NA,NA,NA,NA,NA
"12756",105726,2013,-0.022399097,NA,1,-0.022399096,1,"Active",8.7934723,1,3000010368,37,1,1
"12757",105726,2014,0.563463633,NA,1,0.13968015,1,"Active",8.3913031,1,3000010368,38,1,1
"12758",105726,2015,0.835440367,NA,1,0.22696291,1,"Active",1.3681529,1,3000010368,39,1,1
"12759",105726,2016,0.307948733,NA,1,0.11034037,1,"Active",0.29936454,1,NA,NA,NA,NA
"12760",105726,2017,0.483569149,NA,1,0.38498932,1,NA,NA,NA,NA,NA,NA,NA
"12761",105775,2013,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12762",105775,2014,NA,NA,1,NA,NA,"Active",8.0572634,1,NA,NA,NA,NA
"12763",105775,2015,0.068305444,NA,1,-1.5029535,1,"Active",2.1054039,1,NA,NA,NA,NA
"12764",105775,2016,0.522812813,NA,1,-0.000906541,1,"Active",0.16248158,1,NA,NA,NA,NA
"12765",105775,2017,0.448511129,NA,1,-2.0007079,1,NA,NA,NA,NA,NA,NA,NA
"12766",105785,2013,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12767",105785,2014,NA,NA,1,NA,NA,"Active",8.7792215,1,3000010106,28,1,1
"12768",105785,2015,-0.652155505,NA,1,-0.37235239,1,"Active",1.7556332,1,3000010106,29,1,1
"12769",105785,2016,0.140500985,NA,1,0.18853293,1,"Active",0.58536434,1,NA,NA,NA,NA
"12770",105785,2017,-0.242674123,NA,1,-0.33238491,1,NA,NA,NA,NA,NA,NA,NA
"12771",105803,2013,-0.056519925,0.16227114,1,0.32740462,1,"Active",8.7009144,1,3000010179,39,1,1
"12772",105803,2014,0.44850063,NA,1,0.75319368,1,"",8.2307224,1,3000010179,41,1,1
"12773",105803,2015,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12774",105803,2016,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12775",105803,2017,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12776",105841,2013,NA,NA,1,NA,NA,"Active",8.4712791,1,3000010382,29,0,1
"12777",105841,2014,-0.930320668,0.248013869,1,-0.65769684,1,"Active",8.5046034,1,3000010382,30,0,1
"12778",105841,2015,-0.206009403,-1.360958127,1,-1.4754192,1,"Active",1.8714094,1,3000010382,31,0,1
"12779",105841,2016,-1.160113161,NA,1,-1.1570753,1,"Active",0.43722165,1,NA,NA,NA,NA
"12780",105841,2017,0.270089339,NA,1,0.66655672,1,NA,NA,NA,NA,NA,NA,NA
"12781",105864,2013,0.725351298,NA,1,0.72535133,1,"Active",8.1205025,1,3000010152,30,0,1
"12782",105864,2014,0.763805079,NA,1,-1.0226119,1,"Active",8.7508507,1,3000010152,31,0,1
"12783",105864,2015,0.805760005,NA,1,0.99616891,1,"Active",1.8406402,1,3000010152,32,0,1
"12784",105864,2016,0.027490569,NA,1,0.4838393,1,"Active",0.21101214,1,NA,NA,NA,NA
"12785",105864,2017,1.109568607,NA,1,0.93810457,1,NA,NA,NA,NA,NA,NA,NA
"12786",105868,2013,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12787",105868,2014,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12788",105868,2015,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12789",105868,2016,NA,NA,1,NA,NA,"Active",0.27398553,1,NA,NA,NA,NA
"12790",105868,2017,-0.350763574,NA,1,-0.35076359,1,NA,NA,NA,NA,NA,NA,NA
"12791",105896,2013,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12792",105896,2014,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12793",105896,2015,NA,NA,1,NA,NA,"Active",1.9451437,1,NA,30,0,1
"12794",105896,2016,-1.203703093,NA,1,-0.90626037,1,"Active",0.51832795,1,NA,NA,NA,NA
"12795",105896,2017,-2.311096592,NA,1,-1.7130988,1,NA,NA,NA,NA,NA,NA,NA
"12796",105898,2013,NA,NA,1,NA,NA,"",8.2318506,1,3000010289,46,0,1
"12797",105898,2014,NA,NA,1,NA,NA,"",8.8908482,1,3000010289,47,0,1
"12798",105898,2015,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12799",105898,2016,-1.041361962,NA,1,-1.0413619,1,"Active",0.91729623,1,NA,NA,NA,NA
