person_id,year,perf_c
103353,2015,-2.3393385
55192,2017,-2.3380795
70147,2016,-2.3280711
100140,2013,-2.3280268
126917,2016,-2.3265789
124631,2017,-2.3255951
128183,2016,-2.3168516
51050,2017,-2.3163319
126020,2015,-2.3155949
48907,2013,-2.3101568
81013,2016,-2.3087218
112916,2013,-2.3078206
74528,2016,-2.3050432
124584,2015,-2.3031211
116101,2016,-2.3011348
91254,2017,-2.3003769
118022,2013,-2.3002684
128400,2017,-2.2971759
58896,2016,-2.295696
122324,2014,-2.294389
46027,2017,-2.2934413
118641,2013,-2.2911119
122422,2017,-2.2846534
49312,2013,-2.2755377
106206,2016,-2.2751577
68782,2013,-2.2721796
121557,2014,-2.2719843
58917,2014,-2.2702045
128391,2017,-2.2687624
95518,2016,-2.2591395
62586,2016,-2.2568398
126708,2016,-2.2535255
112544,2017,-2.251869
80622,2013,-2.2514043
116295,2013,-2.2495725
130302,2015,-2.2493682
68797,2017,-2.2446363
114346,2013,-2.2400692
118233,2013,-2.2373304
46421,2013,-2.2369199
80817,2014,-2.234664
53664,2013,-2.234056
130267,2013,-2.227972
23104,2016,-2.2179441
130266,2017,-2.2122533
48317,2014,-2.2076869
60662,2017,-2.2073176
15178,2013,-2.2053204
121827,2016,-2.2039177
66372,2015,-2.2034247
107405,2013,-2.2027025
121545,2015,-2.1987925
119833,2016,-2.1934793
21189,2013,-2.1904602
94220,2013,-2.1844995
129989,2016,-2.1780894
72413,2016,-2.172986
119840,2014,-2.1714041
125856,2015,-2.1665173
111808,2014,-2.1623011
39047,2015,-2.1612263
119707,2016,-2.1476469
30575,2014,-2.1464841
47411,2016,-2.1451938
78641,2017,-2.1444669
103422,2013,-2.1350806
32487,2013,-2.1302054
50892,2013,-2.1298137
114646,2013,-2.1259491
121903,2016,-2.1141851
128197,2013,-2.1139889
58896,2013,-2.1098697
59285,2014,-2.1081231
106031,2015,-2.1047478
93357,2017,-2.1041923
130274,2013,-2.1033256
134848,2013,-2.0968242
62270,2017,-2.0950775
128676,2015,-2.0948639
90577,2016,-2.0915372
38437,2014,-2.0908051
46615,2014,-2.0902696
46421,2014,-2.0885425
99321,2015,-2.0867283
102697,2017,-2.0864067
25456,2016,-2.0855179
119791,2015,-2.0766644
104826,2014,-2.0757773
54624,2014,-2.0715091
125361,2016,-2.071394
120966,2015,-2.0691555
112696,2015,-2.0679946
126217,2016,-2.0676627
122060,2015,-2.0672035
49849,2016,-2.0671623
121404,2014,-2.0667078
122636,2016,-2.0640743
30125,2013,-2.063915
