"","person_id","year.x","perf_a.x","perf_b.x","perf_c.x","status.x","avg_absences.x","id_s_fr.x","age.x","female.x","year.y","perf_a.y","perf_b.y","perf_c.y","status.y","avg_absences.y","id_s_fr.y","age.y","female.y","year.x.x","perf_a.x.x","perf_b.x.x","perf_c.x.x","status.x.x","avg_absences.x.x","id_s_fr.x.x","age.x.x","female.x.x","year.y.y","perf_a.y.y","perf_b.y.y","perf_c.y.y","status.y.y","avg_absences.y.y","id_s_fr.y.y","age.y.y","female.y.y","year.x.x.x","perf_a.x.x.x","perf_b.x.x.x","perf_c.x.x.x","status.x.x.x","avg_absences.x.x.x","id_s_fr.x.x.x","age.x.x.x","female.x.x.x","year.y.y.y","perf_a.y.y.y","perf_b.y.y.y","perf_c.y.y.y","status.y.y.y","avg_absences.y.y.y","id_s_fr.y.y.y","age.y.y.y","female.y.y.y","year","perf_a","perf_b","perf_c","status","avg_absences","id_s_fr","age","female"
"1998",85851,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,NA,NA,NA,NA,NA,NA,NA,NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,2015,NA,NA,NA,"Active",1.5999864,3000010226,47.171234,1,2016,-1.162269593,NA,-1.0180616,"Active",0.46321002,NA,NA,NA,2017,-1.350193008,NA,-0.96106136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1999",85856,2012,NA,NA,NA,"Active",8.883769,3000010857,32,1,2013,0.428691474,NA,0.42869148,"Active",8.0620956,3000010857,33,1,2014,0.259908107,NA,0.25990811,"Active",8.7661982,3000010857,34,1,2015,0.963324939,NA,0.96332496,"Active",1.2878385,3000010857,35,1,2016,0.953055328,NA,0.95305532,"Active",0.7190938,NA,NA,NA,2017,2.606662733,NA,2.6066628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2000",85862,2012,NA,NA,NA,"",8.1255474,3000010106,32,1,2013,0.605960332,NA,0.60596031,"Active",8.3517618,1002730019,33,1,2014,0.717231898,NA,1.2068031,"Active",8.5273523,3000010106,34,1,2015,1.057252185,NA,1.4628083,"Active",1.8979181,3000010106,35,1,2016,0.574703355,NA,0.5747034,"Active",0.60700881,NA,NA,NA,2017,0.681801324,NA,0.68180132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2001",85879,2012,NA,NA,NA,"Active",8.4722548,3000010179,33,1,2013,0.435492276,NA,0.43549231,"Inactive",8.8410988,NA,34,1,2014,NA,NA,NA,"Inactive",8.1708212,NA,35,1,2015,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2002",85888,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,NA,NA,NA,NA,NA,NA,NA,NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,2015,NA,NA,NA,"Active",1.7011949,3000010368,49,1,2016,-6.539238155,NA,-1.6845468,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003",85924,2012,NA,NA,NA,"Active",8.4476423,3000010179,35,1,2013,1.066663435,1.079461397,1.0737168,"Active",8.1270227,3000010179,36,1,2014,0.380900015,0.368440742,0.50288379,"Active",8.2222576,3000010179,37,1,2015,1.4569355,NA,0.76754558,"Active",1.359266,3000010179,38,1,2016,NA,NA,NA,"Active",0.042036291,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2004",85972,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,NA,NA,NA,NA,NA,NA,NA,NA,2014,NA,NA,NA,"Active",8.9950123,3000010290,48,1,2015,-0.87928069,NA,-0.87928069,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2005",86014,2012,NA,NA,NA,"Active",8.6927214,3000010309,46,1,2013,-0.652509053,NA,-0.65250909,"Active",8.0348082,3000010260,47,1,2014,-0.176298814,NA,-0.81479293,"Active",8.3811197,3000010260,48,1,2015,-0.293752077,NA,0.27037159,"Active",1.8413795,3000010260,49,1,2016,-0.78514466,NA,-0.13020225,"Active",0.057430223,NA,NA,NA,2017,-1.520675154,NA,-1.9608438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006",86122,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,NA,NA,NA,NA,NA,NA,NA,NA,2014,NA,NA,NA,"Active",8.3983507,3000010282,49,1,2015,-1.538233432,NA,-0.83592671,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2007",86147,2012,NA,NA,NA,"Active",7.9756031,3000010362,37,1,2013,0.119170176,NA,0.11917018,"Active",8.3552752,3000010362,38,1,2014,-0.353003766,NA,0.43830329,"Active",8.0586376,3000010362,39,1,2015,-0.289924329,NA,-0.4995451,"Active",1.869362,3000010362,40,1,2016,-0.440286589,NA,-0.2072252,"Active",0.11566102,NA,NA,NA,2017,0.043012384,NA,0.67773199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
