person_id,year,perf_a,perf_b
23288,2013,-0.389760868,1.536036062
23288,2014,-0.053351835,
23288,2015,,
23288,2016,,
23288,2017,,
23411,2013,-0.674473073,
23411,2014,,
23411,2015,,
23411,2016,,
23411,2017,,
23463,2013,1.332389971,
23463,2014,1.575707795,
23463,2015,0.038366633,
23463,2016,-0.844237616,
23463,2017,-1.282803372,
23601,2013,1.479287458,-0.460220097
23601,2014,0.680593549,0.016712107
23601,2015,0.113035997,-0.728006262
23601,2016,0.266150764,-0.214418857
23601,2017,1.097594581,
23713,2013,,
23713,2014,,
23713,2015,,
23713,2016,0.400118494,
23713,2017,,
23747,2013,0.856415537,
23747,2014,0.171198627,-1.134819261
23747,2015,0.040773646,-0.683088008
23747,2016,-0.860250387,-0.076854277
23747,2017,1.010807468,
23754,2013,1.443870894,-0.013147103
23754,2014,0.344323381,
23754,2015,1.748146635,-1.324855661
23754,2016,0.696434934,-0.162855058
23754,2017,1.201281073,
23757,2013,1.329040571,0.329244146
23757,2014,,
23757,2015,,
23757,2016,,
23757,2017,,
23812,2013,-1.457885969,
23812,2014,-0.613344743,0.221390162
23812,2015,0.341266855,
23812,2016,0.225418248,
23812,2017,,
23821,2013,1.280962936,
23821,2014,1.893534933,
23821,2015,1.197818865,
23821,2016,2.257133346,
23821,2017,,
23828,2013,-1.737409227,
23828,2014,0.177396784,
23828,2015,1.06516524,
23828,2016,0.706578379,
23828,2017,-0.362401059,
23850,2013,0.804323431,
23850,2014,,
23850,2015,,
23850,2016,,
23850,2017,,
23949,2013,1.640025842,
23949,2014,,
23949,2015,,
23949,2016,,
23949,2017,,
23970,2013,,
23970,2014,,-0.755511586
23970,2015,,
23970,2016,,
23970,2017,,
24037,2013,-0.340622387,
24037,2014,-0.211252775,
24037,2015,-0.146895932,
24037,2016,-0.038499028,
24037,2017,-0.846050122,
24157,2013,-1.53717424,
24157,2014,0.044466432,
24157,2015,-0.120167213,
24157,2016,,
24157,2017,,
24207,2013,1.69938175,-0.379315039
24207,2014,0.30788768,0.028219218
24207,2015,0.709476634,-1.955528374
24207,2016,,
24207,2017,,
24217,2013,-1.412721852,
24217,2014,-0.608182773,
24217,2015,-0.141852019,
